City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
245,guerrero negro,27.9769,-114.0611,17.44,69,62,2.19,MX,1712849390
246,plymouth,41.8334,-70.8328,11.95,95,100,1.54,US,1712849390
247,pudasjarvi,65.3833,26.9167,3.05,84,5,6.05,FI,1712849390
248,posto fiscal rolim de moura,-13.0833,-62.2667,31.47,64,95,0.25,BR,1712849390
249,kharp,66.8014,65.8081,-10.16,96,100,5.58,RU,1712849390
250,barcelos,41.5388,-8.6151,29.95,48,95,1.22,PT,1712849304
251,richards bay,-28.783,32.0377,20.71,57,6,6.57,ZA,1712849391
252,usogorsk,63.4106,48.6872,4.81,100,100,7.18,RU,1712849391
253,piedras negras,28.7,-100.5167,21.26,42,0,0.0,MX,1712849371
254,trincomalee,8.5711,81.2335,29.66,75,77,6.67,LK,1712849391
255,maues,-3.3836,-57.7186,29.6,81,50,1.29,BR,1712849391
256,mayna,54.1135,47.6231,16.21,70,89,5.91,RU,1712849391
257,harper,4.375,-7.7169,29.46,71,100,3.5,LR,1712849392
258,mount pearl,47.5166,-52.7813,4.36,74,75,4.12,CA,1712849392
259,zomba,-15.386,35.3188,22.94,94,100,2.38,MW,1712849392
260,igarka,67.4667,86.5833,-24.43,97,21,2.68,RU,1712849392
261,soe,-9.8607,124.284,17.42,90,17,1.82,ID,1712849392
262,mutuali,-14.8706,37.0044,24.2,88,79,1.12,MZ,1712849392
263,jamestown,42.097,-79.2353,16.8,88,100,8.23,US,1712849392
264,noosa heads,-26.3833,153.15,18.95,66,32,7.7,AU,1712849393
265,parambu,-6.2111,-40.6944,27.63,69,100,1.3,BR,1712849393
266,mil'kovo,55.6078,37.7956,16.9,40,79,4.98,RU,1712849393
267,fastiv,50.0767,29.9177,17.56,55,100,4.67,UA,1712849393
268,alghero,40.5589,8.3181,19.05,55,20,8.75,IT,1712849393
269,port alberni,49.2413,-124.8028,8.91,94,100,0.45,CA,1712849393
270,kigoma,-4.8769,29.6267,26.53,73,89,2.59,TZ,1712849393
271,medicine hat,50.0501,-110.6683,9.29,51,40,1.03,CA,1712849219
272,uturoa,-16.7333,-151.4333,28.7,78,56,7.86,PF,1712849394
273,pindushi,62.9152,34.58,5.81,74,25,6.67,RU,1712849394
274,inverell,-29.7833,151.1167,12.87,89,0,1.34,AU,1712849394
275,sheridan,44.8333,-106.9173,9.06,68,0,0.45,US,1712849394
276,saint-louis du nord,19.9333,-72.7167,26.46,70,6,7.27,HT,1712849394
277,nuuk,64.1835,-51.7216,-1.66,80,100,1.54,GL,1712849100
278,trinidad,-14.8333,-64.9,29.99,74,75,4.12,BO,1712849395
279,kapit,2.0167,112.9333,24.17,95,98,0.47,MY,1712849395
280,santa ana de yacuma,-13.75,-65.4333,29.97,74,75,5.14,BO,1712849395
281,saynshand,44.8824,110.1163,14.05,26,69,3.34,MN,1712849395
282,gebeit,21.0667,36.3167,28.22,22,3,6.1,SD,1712849395
283,esil,51.9556,66.4042,3.62,67,55,2.11,KZ,1712849396
284,talnakh,69.4865,88.3972,-25.44,99,83,1.29,RU,1712849396
285,wytheville,36.9484,-81.0848,16.38,94,100,1.34,US,1712849396
286,vicente guerrero,19.1194,-98.1708,18.03,45,0,2.0,MX,1712849396
287,westerland,54.9079,8.3033,12.79,87,20,8.23,DE,1712849396
288,yanbu,24.0891,38.0637,30.02,20,0,8.23,SA,1712849396
289,kelo,9.3086,15.8066,42.2,14,53,1.23,TD,1712849397
290,rundu,-17.9333,19.7667,28.02,44,100,2.25,NA,1712849397
